pair_index,scene,source_id,target_id,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,mean_hops,best_hops,effective_rank,regeneration_updates,regenerated_correspondences,subsample_seconds,graph_seconds,seed_seconds,search_seconds,refinement_seconds,regeneration_seconds
0,7-scenes-redkitchen,1,0,sagereg_regen,780,0.8615384615384616,0.4458360671857288,0.0068337772262607,True,0.3276916720001281,2.0,2.0,2.2827492408408294,4.0,8214.0,1.7685999864625046e-05,0.0272724609999386,0.1653598610000699,0.0687452059996758,0.012010809000003,0.0542260330003045
1,7-scenes-redkitchen,2,0,sagereg_regen,330,0.5454545454545454,1.0886301018946192,0.0335845517534098,True,0.1665356620005695,2.0,2.0,2.0849315523430647,4.0,5761.0,1.2645999959204346e-05,0.0074974880003537,0.0424432849999902,0.0618962240000655,0.0078534470003432,0.0467730200002733
2,7-scenes-redkitchen,3,0,sagereg_regen,334,0.467065868263473,1.1899214023513718,0.0347461528718349,True,0.1597945550001895,1.9791666666666667,2.0,2.709657519006214,3.0,5806.0,1.2079000043740962e-05,0.0072182620001512,0.0428063819999806,0.0604030049998982,0.00754321300019,0.0417687399999522
3,7-scenes-redkitchen,4,0,sagereg_regen,337,0.5400593471810089,1.4045368507825666,0.039975289591216,True,0.1692619659997944,1.9791666666666667,2.0,2.2102113181191085,2.0,6206.0,1.267200013899128e-05,0.0077023290000397,0.0449281450000853,0.062127220000093,0.0078395840000666,0.0466083839996827
4,7-scenes-redkitchen,5,0,sagereg_regen,232,0.418103448275862,1.016184610975056,0.0467158609399439,True,0.1423525130003327,2.0,2.0,2.0496294729267426,4.0,5387.0,9.840000075200804e-06,0.0042094509999515,0.022756993999792,0.0578108909999173,0.0067849890001525,0.0507391690002805
5,7-scenes-redkitchen,6,0,sagereg_regen,258,0.5426356589147286,1.0017842070465064,0.0558206746625086,True,0.1390120589999242,1.9895833333333333,2.0,2.118323488880492,3.0,4356.0,1.0619000022416005e-05,0.0046900140000616,0.0292410069996549,0.0614729009998882,0.0076175429999238,0.0359340740001243
6,7-scenes-redkitchen,10,0,sagereg_regen,346,0.5664739884393064,1.2213293669158034,0.0419580353761418,True,0.164043515999765,2.0,2.0,2.0767359204042624,4.0,5921.0,1.1794999863923294e-05,0.0070805289997224,0.044485904999874,0.062857860999884,0.0078922729999248,0.0416725049999513
7,7-scenes-redkitchen,11,0,sagereg_regen,383,0.7284595300261096,1.4185149279483111,0.0293117622130397,True,0.1840602780002882,2.0,2.0,2.291107070264508,3.0,6709.0,1.3367000065045431e-05,0.0082821910000348,0.0584367579999707,0.0632936090000839,0.0084750789997087,0.0455151510000177
8,7-scenes-redkitchen,12,0,sagereg_regen,506,0.7213438735177866,1.1915068071841697,0.0221733629957098,True,0.2298475450002115,2.0,2.0,2.165908979035644,4.0,6766.0,1.6109000171127263e-05,0.0118646539999645,0.0925945929998306,0.0635753820001809,0.0097820890000548,0.0519666509999297
9,7-scenes-redkitchen,13,0,sagereg_regen,382,0.7722513089005235,1.6526714480989173,0.0299239658430454,True,0.1760432400001264,2.0,2.0,2.2919451282066845,4.0,5583.0,1.3097999726596754e-05,0.0077661479999733,0.0599661410001317,0.062536020999687,0.0084678690000146,0.0372496150002916
