pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
0,pair_0.npz,sagereg_regen,2000,0.522,1.2317905670515468,0.4325443936320299,True,1.0315539019993594,2.0123887838851857,6.0,40699.0
1,pair_1.npz,sagereg_regen,2000,0.522,1.2317905670515468,0.4325443936320299,True,1.0360012349992758,2.0123887838851857,6.0,40699.0
2,pair_2.npz,sagereg_regen,2000,0.3675,0.101834159050808,0.101459135430769,True,0.9674436560017056,1.7286683935621696,6.0,38127.0
3,pair_3.npz,sagereg_regen,2000,0.5785,0.2125974283195224,0.1133048257735147,True,1.024928266000643,1.8580549785428009,6.0,40584.0
4,pair_4.npz,sagereg_regen,2000,0.393,0.142133494665512,0.3043725173664241,True,1.0572897490001196,2.013556711934807,6.0,43939.0
5,pair_5.npz,sagereg_regen,2000,0.2385,0.1741255651272773,0.3674834654124704,True,1.034874413999205,1.952049644797829,6.0,40359.0
6,pair_6.npz,sagereg_regen,2000,0.7455,0.2401493661984222,0.1849430977501107,True,1.0073986620009237,2.0010358820476446,5.0,39229.0
7,pair_7.npz,sagereg_regen,2000,0.875,0.1596662327137768,0.1132542414476883,True,0.9718387469984008,2.015761938324105,4.0,38100.0
8,pair_8.npz,sagereg_regen,2000,0.936,0.1055518852296597,0.0969880486906309,True,1.0119897260010475,1.964562338691745,5.0,37527.0
9,pair_9.npz,sagereg_regen,2000,0.8525,0.0719746602622965,0.1420142010373953,True,1.0152118010028062,1.9033241773649936,6.0,37164.0
10,pair_10.npz,sagereg_regen,2000,0.9625,0.1057903296748646,0.0927134667445123,True,0.9911849449999864,1.592350471453001,4.0,34865.0
11,pair_11.npz,sagereg_regen,2000,0.9535,0.0618138462686016,0.1127503528205206,True,0.9666865060007694,1.95172139096248,5.0,32161.0
12,pair_12.npz,sagereg_regen,2000,0.898,0.1346391267288074,0.1649594583293858,True,0.954302137999548,1.858949669601104,5.0,32408.0
13,pair_13.npz,sagereg_regen,2000,0.49,0.1806194555548766,0.3771230802672971,True,0.9799189210007172,1.9614192760343168,6.0,34421.0
14,pair_14.npz,sagereg_regen,2000,0.3735,0.2128463725224532,0.5238113126093159,True,0.9345559770008548,1.9367789583113828,3.0,36148.0
15,pair_15.npz,sagereg_regen,2000,0.763,0.1338898935017385,0.1932439902452734,True,1.01804163000088,1.90014055969094,6.0,36995.0
16,pair_16.npz,sagereg_regen,2000,0.785,0.2091262575476402,0.1933654070178986,True,1.008005637999304,1.767823400417942,4.0,36661.0
17,pair_17.npz,sagereg_regen,2000,0.784,0.1225217448733459,0.107315673273468,True,1.0146406929998193,1.8467194280878163,5.0,36564.0
18,pair_18.npz,sagereg_regen,2000,0.743,0.1027070002935296,0.068814539936233,True,1.015007180001703,1.9866208653984576,4.0,38144.0
19,pair_19.npz,sagereg_regen,2000,0.6725,0.0907215365902082,0.1029159846507668,True,1.0143553109992354,1.997531535637025,5.0,39739.0
20,pair_20.npz,sagereg_regen,2000,0.95,0.0549082571570853,0.1039101010041413,True,1.02359172999968,1.9232039546798303,5.0,41745.0
21,pair_21.npz,sagereg_regen,2000,0.801,0.2980127813306807,0.2061694118652328,True,1.0170453939990691,2.0045001198849395,6.0,37671.0
22,pair_22.npz,sagereg_regen,2000,0.927,0.0645438491470545,0.1966595447040078,True,0.9599845209995692,1.8716583894308336,6.0,32882.0
23,pair_23.npz,sagereg_regen,2000,0.95,0.2981846203457898,0.1623608111369179,True,0.950341601999753,1.8569045297371327,5.0,30829.0
