pair_index,pair_file,method,num_correspondences,putative_inlier_ratio,rotation_error_deg,translation_error,success,runtime_seconds,effective_rank,regeneration_updates,regenerated_correspondences
0,pair_0.npz,sagereg_regen,2000,0.012,1.237475321294196,0.4209612352187175,True,0.9351118899999163,1.3849518577041746,6.0,43775.0
1,pair_1.npz,sagereg_regen,2000,0.012,1.237475321294196,0.4209612352187175,True,0.9264978270002756,1.3849518577041746,6.0,43775.0
2,pair_2.npz,sagereg_regen,2000,0.0005,11.709314693676513,7.149827279762441,False,0.8171486249998452,1.5304960957432063,6.0,24073.0
3,pair_3.npz,sagereg_regen,2000,0.0015,14.153082016460663,9.992971933928466,False,0.8585044090000338,1.469624769490679,6.0,25273.0
4,pair_4.npz,sagereg_regen,2000,0.015,0.051801517591982,0.0211481841748877,True,0.9531118039999456,1.8149985976627137,6.0,47354.0
5,pair_5.npz,sagereg_regen,2000,0.0355,0.0427118414699946,0.0223795433957573,True,0.9526418719997308,1.7891103587853232,5.0,43182.0
6,pair_6.npz,sagereg_regen,2000,0.046,0.0924900948486484,0.0510658040762468,True,0.951675599000282,1.3665113284484145,5.0,41904.0
7,pair_7.npz,sagereg_regen,2000,0.024,1.6498203582463744,8.28345582570731,False,0.8808739589999277,1.30301124297504,5.0,27284.0
8,pair_8.npz,sagereg_regen,2000,0.033,0.0503287205048252,0.0245468827757493,True,0.8811907429999337,1.9065333388896744,4.0,41794.0
9,pair_9.npz,sagereg_regen,2000,0.022,0.0424565474178542,0.0273398057284247,True,0.9078399090003586,1.3452257448104792,6.0,40506.0
10,pair_10.npz,sagereg_regen,2000,0.0275,0.0435328466392908,0.0194015750583494,True,0.8907769770003142,1.6371191388669926,4.0,38748.0
11,pair_11.npz,sagereg_regen,2000,0.0285,0.0444612693329886,0.010937695922279,True,0.8413423360002525,1.3865756252457186,4.0,36178.0
12,pair_12.npz,sagereg_regen,2000,0.016,0.3575516078324217,9.604950979209445,False,0.8515543690000413,1.3419679206268629,6.0,28365.0
13,pair_13.npz,sagereg_regen,2000,0.0435,0.0737335628286602,0.0197852210946053,True,0.90961465700002,1.60196088027468,5.0,38119.0
14,pair_14.npz,sagereg_regen,2000,0.024,0.0989381159870355,0.0204707192245722,True,0.8536302570000771,1.9172510899785384,4.0,39142.0
15,pair_15.npz,sagereg_regen,2000,0.0225,0.047858353537161,0.0578499659828954,True,0.8939128689994504,2.035552856489124,6.0,40912.0
16,pair_16.npz,sagereg_regen,2000,0.0195,0.0787399338686583,0.0222655023314505,True,0.9078461429999152,1.7303233294633702,6.0,40327.0
17,pair_17.npz,sagereg_regen,2000,0.018,0.0516482884240118,0.016845150265751,True,0.899129597999945,1.6369119000577548,5.0,40179.0
18,pair_18.npz,sagereg_regen,2000,0.0225,0.1387222605789272,9.12779901025383,False,0.8194060559994796,1.9240475114656497,4.0,29606.0
19,pair_19.npz,sagereg_regen,2000,0.0225,0.0532366422673894,0.0188597447010799,True,0.9288837379999676,1.4005386234843933,6.0,43471.0
20,pair_20.npz,sagereg_regen,2000,0.0225,0.0476819574239096,0.0161578067320828,True,0.9293234520005172,1.9897449794314568,5.0,45908.0
21,pair_21.npz,sagereg_regen,2000,0.02,0.0640983170220645,0.0131272874392253,True,0.9101987740000368,1.7919824764594945,6.0,41702.0
22,pair_22.npz,sagereg_regen,2000,0.0275,0.0601801366683816,0.0052246885729003,True,0.8320081360002405,1.829349611081752,3.0,36954.0
23,pair_23.npz,sagereg_regen,2000,0.0135,0.060228027968414,0.0242187683869224,True,0.8700978069996381,1.6582598647895883,6.0,34645.0
24,pair_24.npz,sagereg_regen,2000,0.0245,0.0810603550013391,0.0286433465358355,True,0.897045648999665,1.9936882325622245,5.0,36811.0
25,pair_25.npz,sagereg_regen,2000,0.029,0.0651029873893842,0.0205716294443207,True,0.8704070230005527,1.7148616912873191,4.0,39122.0
26,pair_26.npz,sagereg_regen,2000,0.022,0.0584991333608198,0.0116613915428426,True,0.9176084039995658,1.9062753442241875,6.0,40639.0
27,pair_27.npz,sagereg_regen,2000,0.018,0.0711204975790844,0.028572565526036,True,0.9034208920002128,1.915577749085352,6.0,40644.0
28,pair_28.npz,sagereg_regen,2000,0.0265,0.0307252838458494,0.0088374664766449,True,0.9247377699998652,1.8263901055637008,6.0,42773.0
29,pair_29.npz,sagereg_regen,2000,0.022,0.0981250835762699,0.023214500035062,True,0.9168759610001872,1.5738800042253371,5.0,42502.0
30,pair_30.npz,sagereg_regen,2000,0.0275,0.0553175662451745,0.0085640555090546,True,0.9055242429999452,1.8182424027356947,5.0,39867.0
