variant,registration_recall,median_rotation_error_deg,median_translation_error,mean_runtime_seconds,evaluated_pairs
base,0.42,21.991332356885785,0.8582687855257956,0.23813204540019797,100
hypotheses_10,0.42,27.856710596231757,0.8784920868853991,0.22437024943021242,100
hypotheses_30,0.42,21.991553748400325,0.8582687855257956,0.23118533021057375,100
hypotheses_5,0.43,19.391057132968378,0.7546039922273349,0.22242755831954128,100
motif_0,0.39,24.43613143399445,0.8796664066380329,0.2154551738803275,100
motif_075,0.43,18.61882594696982,0.7921550162855953,0.22747784679013422,100
motif_225,0.45,15.898791029823379,0.5763981630264232,0.22800716021025436,100
neighbors_24,0.41,17.536187288849156,0.6987272620618552,0.17452492790995167,100
neighbors_36,0.46,16.27231846243552,0.5273359783906151,0.20406621680958778,100
neighbors_72,0.41,17.596689263196176,0.8537079778015486,0.259915590919627,100
seeds_120,0.43,24.630134099366863,0.8536743650422072,0.28241022463007537,100
seeds_48,0.42,19.3916865623003,0.7881629503131771,0.12458676592061238,100
seeds_72,0.4,28.036571090304182,0.8796620819863455,0.17468426805011406,100
