method,inlier_ratio,noise_sigma,coherent_outlier_probability,coherent_outlier_spread,unary_separation,distractor_score_bonus,registration_recall,median_rotation_error_deg,median_translation_error,mean_runtime_seconds,evaluated_samples
one_hop,0.03,0.01,0.0,0.055,0.0,0.0,1.0,0.37655982069070515,0.0034297074434262,0.232620189949921,20
one_hop,0.03,0.01,0.0,0.055,0.0,0.25,1.0,0.36454062837609374,0.0031725716910528503,0.22957500950005846,20
one_hop,0.03,0.01,0.0,0.055,0.5,0.0,1.0,0.2662050664238397,0.0033131581016653,0.22608304720033626,20
one_hop,0.03,0.01,0.0,0.055,0.5,0.25,1.0,0.38773563526080534,0.00380814425067265,0.22727834760007676,20
one_hop,0.03,0.01,0.0,0.055,1.0,0.0,1.0,0.5221972877203553,0.0037760083421867997,0.226251027499984,20
one_hop,0.03,0.01,0.0,0.055,1.0,0.25,1.0,0.3889581245586464,0.004203357800383551,0.22652738084980228,20
one_hop,0.03,0.01,0.25,0.055,0.0,0.0,0.05,124.23383992546658,0.7976855254809655,0.24659368614984484,20
one_hop,0.03,0.01,0.25,0.055,0.0,0.25,0.25,74.0444114464049,0.7088409399053843,0.2291617430500082,20
one_hop,0.03,0.01,0.25,0.055,0.5,0.0,0.05,99.83729135254526,0.588218357244007,0.24571394119993778,20
one_hop,0.03,0.01,0.25,0.055,0.5,0.25,0.0,94.68152275726686,0.8599551922003883,0.22628788195015653,20
one_hop,0.03,0.01,0.25,0.055,1.0,0.0,0.1,104.24280031183486,0.7178334574828064,0.24262999279972058,20
one_hop,0.03,0.01,0.25,0.055,1.0,0.25,0.15,120.17817103957876,0.6301423631553676,0.22112845389992794,20
one_hop,0.03,0.01,0.25,0.2,0.0,0.0,0.0,140.62800852964284,0.7328499701514095,0.25634206039994745,20
one_hop,0.03,0.01,0.25,0.2,0.0,0.25,0.0,153.47984853296882,0.8156428299770291,0.23539398855018584,20
one_hop,0.03,0.01,0.25,0.2,0.5,0.0,0.0,114.54866765687778,0.5472764877334613,0.25318572959995433,20
one_hop,0.03,0.01,0.25,0.2,0.5,0.25,0.0,142.98529466888073,0.5840153625030833,0.23292708854987718,20
one_hop,0.03,0.01,0.25,0.2,1.0,0.0,0.0,125.3078608456729,0.6364273312473627,0.2515333585501139,20
one_hop,0.03,0.01,0.25,0.2,1.0,0.25,0.0,127.97544984141645,0.5881162291922615,0.22842575729973755,20
one_hop,0.03,0.01,0.25,0.8,0.0,0.0,0.0,137.9939773980533,0.7369687735369659,0.25705411660001115,20
one_hop,0.03,0.01,0.25,0.8,0.0,0.25,0.0,123.02409732518501,0.7358393915324682,0.23730675790002348,20
one_hop,0.03,0.01,0.25,0.8,0.5,0.0,0.0,139.30096876566057,0.7301979153862812,0.25371832230002833,20
one_hop,0.03,0.01,0.25,0.8,0.5,0.25,0.0,101.30178110403844,0.5724862580619938,0.2321675303501251,20
one_hop,0.03,0.01,0.25,0.8,1.0,0.0,0.0,123.40335003529634,0.685735815545277,0.25253718839985595,20
one_hop,0.03,0.01,0.25,0.8,1.0,0.25,0.0,132.84442795976912,0.6023594409790047,0.22950841185001986,20
one_hop,0.03,0.01,0.5,0.055,0.0,0.0,0.05,143.20362468968858,0.9831396873909638,0.23574880939995632,20
one_hop,0.03,0.01,0.5,0.055,0.0,0.25,0.0,124.5594205472554,0.7628841228837445,0.21750248455009563,20
one_hop,0.03,0.01,0.5,0.055,0.5,0.0,0.05,109.00727370327505,0.9939264940687498,0.23534380965020313,20
one_hop,0.03,0.01,0.5,0.055,0.5,0.25,0.1,123.56262061008738,0.9564804428357188,0.21716172925016503,20
one_hop,0.03,0.01,0.5,0.055,1.0,0.0,0.05,113.3617175647494,0.8407756817190872,0.23572848050025635,20
one_hop,0.03,0.01,0.5,0.055,1.0,0.25,0.05,106.08642295080564,0.9435813648102311,0.21880835850006403,20
one_hop,0.03,0.01,0.5,0.2,0.0,0.0,0.0,123.70520167206236,0.5754608348613499,0.25221578829996355,20
one_hop,0.03,0.01,0.5,0.2,0.0,0.25,0.0,110.53245452122613,0.6691637541530568,0.23515050509977295,20
one_hop,0.03,0.01,0.5,0.2,0.5,0.0,0.0,116.7946837945887,0.6579606987626376,0.2542371604502477,20
one_hop,0.03,0.01,0.5,0.2,0.5,0.25,0.0,140.72278920283225,0.5788588894971776,0.23270122174963032,20
one_hop,0.03,0.01,0.5,0.2,1.0,0.0,0.0,121.69457182584893,0.68962198511968,0.2509950231999028,20
one_hop,0.03,0.01,0.5,0.2,1.0,0.25,0.0,126.49979207299222,0.41782051152326993,0.23296334290025694,20
one_hop,0.03,0.01,0.5,0.8,0.0,0.0,0.0,115.05389110343398,0.6598402690999277,0.2634593787501217,20
one_hop,0.03,0.01,0.5,0.8,0.0,0.25,0.0,125.48749739629268,0.6998433917512414,0.24514796154971913,20
one_hop,0.03,0.01,0.5,0.8,0.5,0.0,0.0,130.02800569362736,0.6361405662728374,0.264204509549927,20
one_hop,0.03,0.01,0.5,0.8,0.5,0.25,0.0,119.26231434170613,0.6969964935106034,0.24493754869990875,20
one_hop,0.03,0.01,0.5,0.8,1.0,0.0,0.0,139.6786132231406,0.6251321703786725,0.2633138105497892,20
one_hop,0.03,0.01,0.5,0.8,1.0,0.25,0.0,141.30726389605383,0.6242049236455494,0.24394850369981208,20
one_hop,0.03,0.01,0.75,0.055,0.0,0.0,0.15,113.28696321281083,1.0920353937819989,0.23238795424995257,20
one_hop,0.03,0.01,0.75,0.055,0.0,0.25,0.25,113.10012865495611,0.5626483986138253,0.23255178484978384,20
one_hop,0.03,0.01,0.75,0.055,0.5,0.0,0.0,117.19153742288066,0.9168129981784146,0.23583549719996877,20
one_hop,0.03,0.01,0.75,0.055,0.5,0.25,0.5,13.27630886926104,0.09105394219976705,0.23256545389986055,20
one_hop,0.03,0.01,0.75,0.055,1.0,0.0,0.25,119.14109588466849,0.8168799661523198,0.23519143170005913,20
one_hop,0.03,0.01,0.75,0.055,1.0,0.25,0.45,11.63622113256229,0.2557574342281987,0.230522212949927,20
one_hop,0.03,0.01,0.75,0.2,0.0,0.0,0.0,121.40437930262235,0.77018571116133,0.2498758293002538,20
one_hop,0.03,0.01,0.75,0.2,0.0,0.25,0.0,115.66913242810156,0.7327469548907444,0.23992736460004377,20
one_hop,0.03,0.01,0.75,0.2,0.5,0.0,0.0,127.04951896285726,0.7191806207521904,0.25130332344988343,20
one_hop,0.03,0.01,0.75,0.2,0.5,0.25,0.0,129.35613217241593,0.6961927578758728,0.24322715154985414,20
one_hop,0.03,0.01,0.75,0.2,1.0,0.0,0.0,113.20176500629803,0.6949621299833675,0.25197794829982734,20
one_hop,0.03,0.01,0.75,0.2,1.0,0.25,0.0,116.39261900284927,0.6395814956693651,0.24389932220010446,20
one_hop,0.03,0.01,0.75,0.8,0.0,0.0,0.0,117.55871469963492,0.7121379902964284,0.2670061805499245,20
one_hop,0.03,0.01,0.75,0.8,0.0,0.25,0.0,133.43023744247955,0.6887832004126356,0.2549767928499932,20
one_hop,0.03,0.01,0.75,0.8,0.5,0.0,0.0,157.20428561553774,0.6854177699828985,0.2660673127501468,20
one_hop,0.03,0.01,0.75,0.8,0.5,0.25,0.0,122.05943567702853,0.6824177495368866,0.25498246929992086,20
one_hop,0.03,0.01,0.75,0.8,1.0,0.0,0.0,126.72595040407002,0.5950786748111225,0.26441114235030905,20
one_hop,0.03,0.01,0.75,0.8,1.0,0.25,0.0,119.49699613053434,0.6344893395699538,0.2565680800000336,20
one_hop,0.05,0.01,0.0,0.055,0.0,0.0,1.0,0.26893754351155996,0.00279447104103915,0.23349190169992648,20
one_hop,0.05,0.01,0.0,0.055,0.0,0.25,1.0,0.2994529316474567,0.00339903970344635,0.23278549094993645,20
one_hop,0.05,0.01,0.0,0.055,0.5,0.0,1.0,0.2352208135623908,0.0030096838281534,0.22885214189991526,20
one_hop,0.05,0.01,0.0,0.055,0.5,0.25,1.0,0.29732598241278646,0.002632772831911,0.2303338805498242,20
one_hop,0.05,0.01,0.0,0.055,1.0,0.0,1.0,0.17552907950313168,0.00306008304337145,0.2281058712002959,20
one_hop,0.05,0.01,0.0,0.055,1.0,0.25,1.0,0.30768673166048205,0.0032231567421253,0.22652474599990452,20
one_hop,0.05,0.01,0.25,0.055,0.0,0.0,0.95,0.2831742390442238,0.0030844286187566,0.2490190864494252,20
one_hop,0.05,0.01,0.25,0.055,0.0,0.25,0.85,0.24392906749955004,0.00263798843303005,0.2323169828498976,20
one_hop,0.05,0.01,0.25,0.055,0.5,0.0,0.95,0.29680433640411374,0.0029161745933017,0.24500150470021248,20
one_hop,0.05,0.01,0.25,0.055,0.5,0.25,0.95,0.2724155998040708,0.00324812079168035,0.22608325645014699,20
one_hop,0.05,0.01,0.25,0.055,1.0,0.0,0.95,0.24008061462307553,0.0029157390358026,0.24176553579991372,20
one_hop,0.05,0.01,0.25,0.055,1.0,0.25,0.9,0.23702688400226085,0.0026887546139619,0.2199281171496295,20
one_hop,0.05,0.01,0.25,0.2,0.0,0.0,0.0,114.56255640971483,0.6293416624135975,0.253945031549847,20
one_hop,0.05,0.01,0.25,0.2,0.0,0.25,0.0,114.36615337073134,0.7839469741230426,0.23760827670002976,20
one_hop,0.05,0.01,0.25,0.2,0.5,0.0,0.0,111.34765545383117,0.6383107191201203,0.25290539285015257,20
one_hop,0.05,0.01,0.25,0.2,0.5,0.25,0.0,135.1724775192879,0.5945321956927233,0.23136305924999756,20
one_hop,0.05,0.01,0.25,0.2,1.0,0.0,0.0,112.52611508326176,0.6118020750058673,0.2492428218500208,20
one_hop,0.05,0.01,0.25,0.2,1.0,0.25,0.0,130.52230806780057,0.5488762702041358,0.2274368912499994,20
one_hop,0.05,0.01,0.25,0.8,0.0,0.0,0.0,110.18021267678293,0.7146663573737496,0.25944732984980867,20
one_hop,0.05,0.01,0.25,0.8,0.0,0.25,0.0,107.97838051725864,0.5873639024475865,0.24080915604972683,20
one_hop,0.05,0.01,0.25,0.8,0.5,0.0,0.0,127.27182899365327,0.7062601801560445,0.25424300084987406,20
one_hop,0.05,0.01,0.25,0.8,0.5,0.25,0.0,119.8278565880279,0.6812742965065401,0.23309372025005354,20
one_hop,0.05,0.01,0.25,0.8,1.0,0.0,0.0,99.41494460867696,0.7191395780400961,0.25138718859980147,20
one_hop,0.05,0.01,0.25,0.8,1.0,0.25,0.0,101.02448717236143,0.6538167573169815,0.22870431724995793,20
one_hop,0.05,0.01,0.5,0.055,0.0,0.0,0.75,0.30348178712825535,0.0038127717954741,0.2375680784498399,20
one_hop,0.05,0.01,0.5,0.055,0.0,0.25,0.75,0.28569444386648024,0.0038291894813683,0.22247693800018165,20
one_hop,0.05,0.01,0.5,0.055,0.5,0.0,0.45,78.73002385438798,0.44330627333823147,0.23451032185012077,20
one_hop,0.05,0.01,0.5,0.055,0.5,0.25,0.75,0.3991586388636844,0.00291345039840745,0.22037731390018958,20
one_hop,0.05,0.01,0.5,0.055,1.0,0.0,0.8,0.3833687044032643,0.0030566092739055997,0.23464142194989104,20
one_hop,0.05,0.01,0.5,0.055,1.0,0.25,0.95,0.3511139773022967,0.002848848869692,0.21679051644987335,20
one_hop,0.05,0.01,0.5,0.2,0.0,0.0,0.0,115.7888235580814,0.738179713599914,0.2536175975999867,20
one_hop,0.05,0.01,0.5,0.2,0.0,0.25,0.0,117.18459904343007,0.7249623338935864,0.23575283805002978,20
one_hop,0.05,0.01,0.5,0.2,0.5,0.0,0.0,125.99648534847688,0.6455023978356845,0.25080580414978615,20
one_hop,0.05,0.01,0.5,0.2,0.5,0.25,0.0,120.89002590113768,0.713228389249615,0.23443719984979902,20
one_hop,0.05,0.01,0.5,0.2,1.0,0.0,0.0,105.41005723051379,0.7767877032542372,0.24972187620005565,20
one_hop,0.05,0.01,0.5,0.2,1.0,0.25,0.0,122.80213581243689,0.7105987501719417,0.23415781689964202,20
one_hop,0.05,0.01,0.5,0.8,0.0,0.0,0.0,117.6943472904713,0.6783193489244708,0.2640079243501532,20
one_hop,0.05,0.01,0.5,0.8,0.0,0.25,0.0,127.90870277571594,0.642979130300277,0.2470134078002047,20
one_hop,0.05,0.01,0.5,0.8,0.5,0.0,0.0,132.08914845285264,0.5131054452177948,0.26018848100020475,20
one_hop,0.05,0.01,0.5,0.8,0.5,0.25,0.0,85.22593137829466,0.6612240398095334,0.24564469595043187,20
one_hop,0.05,0.01,0.5,0.8,1.0,0.0,0.0,95.48014453405153,0.6182669463692729,0.25936001294976446,20
one_hop,0.05,0.01,0.5,0.8,1.0,0.25,0.0,79.42288990110926,0.4861637914734842,0.2420319250500142,20
one_hop,0.05,0.01,0.75,0.055,0.0,0.0,0.6,0.3796564685794328,0.0065282367452073,0.23486176940023137,20
one_hop,0.05,0.01,0.75,0.055,0.0,0.25,0.75,0.32868914310039266,0.00326924830298465,0.230550705600217,20
one_hop,0.05,0.01,0.75,0.055,0.5,0.0,0.65,0.3437189294913968,0.00361851743544,0.22897491209978393,20
one_hop,0.05,0.01,0.75,0.055,0.5,0.25,0.8,0.33569182180504775,0.004487943669461101,0.2309254223500829,20
one_hop,0.05,0.01,0.75,0.055,1.0,0.0,0.8,0.2624794789033732,0.00362431564683245,0.22852727305007642,20
