trial,method,inlier_ratio,noise_sigma,coherent_outlier_probability,coherent_outlier_spread,unary_separation,distractor_score_bonus,rotation_error_deg,translation_error,success,runtime_seconds
0,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.3696261106332473,0.0036248160036945,True,0.2332491580000351
0,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.3696263604333582,0.0036248151755327,True,0.280699695000294
1,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.4353669734128149,0.0057690528576603,True,0.2296900870005629
1,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.435368562899909,0.005769034549376,True,0.2547262959997169
2,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.3834348524356391,0.0028336840743561,True,0.227604550000251
2,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.3834360210855355,0.0028337050583594,True,0.2511056189996452
3,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.2254722791417996,0.0020756865236376,True,0.2361312659995746
3,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.2254724952163901,0.0020756864406602,True,0.2596814000007725
4,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.2214213337305503,0.0029602347960724,True,0.2621517989991844
4,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.2214209840317104,0.0029602301273972,True,0.2668275329997414
5,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.6269438667244227,0.0033719216434372,True,0.2319744509986776
5,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.62694573740239,0.0033719154658669,True,0.2805511890001071
6,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.6266747718436408,0.0062712006341118,True,0.2231047329987632
6,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.6266748278572177,0.0062711978857437,True,0.2494996170007652
7,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.3696847889457713,0.0053191143126916,True,0.2309367629986809
7,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.369684828744036,0.0053191142985537,True,0.2531846130004851
8,one_hop,0.03,0.01,0.0,0.055,0.0,0.0,0.5094908398616168,0.0036052490196958,True,0.2265968620013154
8,sagereg,0.03,0.01,0.0,0.055,0.0,0.0,0.5094908884646244,0.0036052490711149,True,0.2531637419997423
