method,inlier_ratio,noise_sigma,registration_recall,median_rotation_error_deg,median_translation_error,mean_runtime_seconds
one_hop,0.02,0.005,0.44,79.51061697380291,0.2765265584455626,0.21868135077999679
one_hop,0.02,0.01,0.34,109.7145462328271,0.676913359248289,0.2195669452000004
one_hop,0.02,0.02,0.0,115.03368128771352,0.8281717047125128,0.22000331421999814
one_hop,0.03,0.005,0.58,0.30554258458552874,0.0031127802791325503,0.2193126753999979
one_hop,0.03,0.01,0.5,31.83397718603898,0.12026214721758516,0.22003066303999727
one_hop,0.03,0.02,0.02,122.02351373258071,0.7766537425176164,0.22191299159999966
one_hop,0.04,0.005,0.96,0.17605850349965615,0.00206913698622425,0.21912141259999882
one_hop,0.04,0.01,0.74,0.40259498883864114,0.00462601070048225,0.2197934007000003
one_hop,0.04,0.02,0.08,113.78253194956798,0.7811959329145144,0.22180949804000188
one_hop,0.05,0.005,1.0,0.10888617315279456,0.0015088991421195,0.21795495600000772
one_hop,0.05,0.01,0.94,0.2919230436467638,0.0027209873877197003,0.2186290193199988
one_hop,0.05,0.02,0.24,112.29799262688468,0.6509703913253753,0.22145916125999515
one_hop,0.075,0.005,1.0,0.11350849510043665,0.0012471765226888,0.22056953538000695
one_hop,0.075,0.01,1.0,0.22741613789981974,0.00244744139516155,0.22082112976001095
one_hop,0.075,0.02,0.72,0.7568375118295146,0.00686890832227165,0.22267927534000362
one_hop,0.1,0.005,1.0,0.086320056262347,0.0009294219232288,0.22175428049999252
one_hop,0.1,0.01,1.0,0.1779697941796082,0.0022451964003997,0.22242150855999396
one_hop,0.1,0.02,0.94,0.4419588607378002,0.004639658240697951,0.223914388200003
one_hop,0.15,0.005,1.0,0.078601874714026,0.00088341633230345,0.22430668696000564
one_hop,0.15,0.01,1.0,0.16191125872662065,0.00161910900140305,0.22458413579999384
one_hop,0.15,0.02,1.0,0.3811393716160213,0.00423706135318375,0.22535532695998878
one_hop,0.2,0.005,1.0,0.0639999171651145,0.0007478980213655999,0.22703137368000167
one_hop,0.2,0.01,0.98,0.1293243770911261,0.0015226165197481,0.22749924536000204
one_hop,0.2,0.02,1.0,0.33284853395464487,0.0031906853659933497,0.2288275225800316
sagereg,0.02,0.005,0.5,7.769315170222118,0.09370864857772375,0.24702329985999763
sagereg,0.02,0.01,0.28,115.44567611368151,0.7143526776109471,0.2481037198000001
sagereg,0.02,0.02,0.02,117.20251455054597,0.87372998593573,0.2482459868399985
sagereg,0.03,0.005,0.72,0.2655654952501652,0.0028630852215568003,0.2471351097599995
sagereg,0.03,0.01,0.48,51.40100193476569,0.38577421914671794,0.2480536724399951
sagereg,0.03,0.02,0.06,111.67071640319014,0.8500944622489484,0.2494558885199967
sagereg,0.04,0.005,0.92,0.18123489591238645,0.0021450807357313497,0.24652679434000443
sagereg,0.04,0.01,0.78,0.39255714685998494,0.0044861229282256495,0.24746162143999523
sagereg,0.04,0.02,0.26,73.77868924796354,0.745456556076409,0.24909031769999954
sagereg,0.05,0.005,1.0,0.1088861704929604,0.00150889915182895,0.24476910797999832
sagereg,0.05,0.01,0.94,0.2919229641556089,0.00272098727882365,0.24569381007999933
sagereg,0.05,0.02,0.32,76.98525452992749,0.6377098906154421,0.24823720803999547
sagereg,0.075,0.005,1.0,0.11350849450405776,0.0012471765203536,0.24722995486000396
sagereg,0.075,0.01,1.0,0.22741615591706726,0.0024474421530977,0.24784731701998905
sagereg,0.075,0.02,0.74,0.7451771003466732,0.0069226468809526,0.24997315603999365
sagereg,0.1,0.005,1.0,0.08632006064112875,0.00092942191439255,0.24906104007999372
sagereg,0.1,0.01,1.0,0.17796974454399944,0.0022451966691958997,0.2500800869399881
sagereg,0.1,0.02,0.9,0.45014307214692667,0.0051184016782426,0.2511792782399993
sagereg,0.15,0.005,1.0,0.07860187458366444,0.0008834163351635,0.2522967540999843
sagereg,0.15,0.01,1.0,0.16191135650050115,0.0016191082709604,0.25265423417999266
sagereg,0.15,0.02,1.0,0.38107360093836584,0.0042388853252895,0.2534421234200067
sagereg,0.2,0.005,1.0,0.06399991589262505,0.0007478980540085,0.25540780944000513
sagereg,0.2,0.01,0.98,0.1293243522408572,0.00152261697147255,0.25564650377998527
sagereg,0.2,0.02,1.0,0.33726400512254956,0.00318908442384295,0.2569914225999855
