trial,method,inlier_ratio,noise_sigma,rotation_error_deg,translation_error,success,runtime_seconds
0,one_hop,0.02,0.005,0.4045989239552092,0.0021397608266349,True,0.2259039799999982
0,sagereg,0.02,0.005,0.4045989235264224,0.0021397608238133,True,0.2513621489999877
1,one_hop,0.02,0.005,0.184985848568658,0.0035461648168711,True,0.2211016530000051
1,sagereg,0.02,0.005,0.1849858495340725,0.0035461648861226,True,0.2493188700000246
2,one_hop,0.02,0.005,0.2834090217784195,0.0019309557833854,True,0.2165928580000127
2,sagereg,0.02,0.005,0.2834090195304779,0.0019309557495634,True,0.2440496739999957
3,one_hop,0.02,0.005,0.4241779996657833,0.0025095342878906,True,0.2151702840000098
3,sagereg,0.02,0.005,0.4241779997345219,0.0025095343030697,True,0.2424888099999975
4,one_hop,0.02,0.005,69.67185807234974,0.7374176811735573,False,0.2213887289999547
4,sagereg,0.02,0.005,69.67183382129454,0.7374234193738408,False,0.249814146999995
5,one_hop,0.02,0.005,0.2539948684524554,0.0038240454844088,True,0.2225788309999643
5,sagereg,0.02,0.005,0.2539948672069326,0.0038240454960736,True,0.2508895440000174
6,one_hop,0.02,0.005,145.5257617616959,0.2247277811161746,False,0.2242274089999796
6,sagereg,0.02,0.005,147.7754627339397,0.1804570287488806,False,0.2513105269999869
7,one_hop,0.02,0.005,171.38282528162304,0.7069745933993968,False,0.2208086950000165
7,sagereg,0.02,0.005,0.2204262184096188,0.0029733654496829,True,0.2502193850000367
8,one_hop,0.02,0.005,0.225703265599553,0.0031973796623865,True,0.2167074149999734
8,sagereg,0.02,0.005,0.2257032664489378,0.0031973796648239,True,0.2442770509999832
9,one_hop,0.02,0.005,0.2241087878867041,0.0020480076660109,True,0.2164330189999646
9,sagereg,0.02,0.005,0.2241087913572047,0.0020480076960049,True,0.2447711269999786
10,one_hop,0.02,0.005,135.18930325782546,1.7755219254987482,False,0.2147738840000101
10,sagereg,0.02,0.005,144.90174485441483,1.7146498726426571,False,0.2424594929999557
11,one_hop,0.02,0.005,163.8783285713141,1.793543481714644,False,0.2181049369999641
11,sagereg,0.02,0.005,163.75892121723973,1.789856520669289,False,0.2479763009999942
